,(+)-Griseofulvin,(S)-(+)-Camptothecin,Chloramphenicol,Metformin,Cell viability
91,128.0,32.0,25.0,4.0,0.991
92,128.0,32.0,25.0,2.0,0.991
93,128.0,32.0,25.0,1.0,0.992
94,128.0,32.0,25.0,0.5,0.992
95,128.0,32.0,25.0,0.0,0.992
96,128.0,32.0,12.5,512.0,0.86
97,128.0,32.0,12.5,256.0,0.927
98,128.0,32.0,12.5,128.0,0.963
99,128.0,32.0,12.5,64.0,0.977
100,128.0,32.0,12.5,32.0,0.986
101,128.0,32.0,12.5,16.0,0.991
102,128.0,32.0,12.5,8.0,0.993
103,128.0,32.0,12.5,4.0,0.994
104,128.0,32.0,12.5,2.0,0.995
105,128.0,32.0,12.5,1.0,0.995
106,128.0,32.0,12.5,0.5,0.995
107,128.0,32.0,12.5,0.0,0.996
108,128.0,32.0,6.25,512.0,0.863
109,128.0,32.0,6.25,256.0,0.931
110,128.0,32.0,6.25,128.0,0.963
111,128.0,32.0,6.25,64.0,0.98
112,128.0,32.0,6.25,32.0,0.988
113,128.0,32.0,6.25,16.0,0.994
114,128.0,32.0,6.25,8.0,0.995
115,128.0,32.0,6.25,4.0,0.996
116,128.0,32.0,6.25,2.0,0.997
117,128.0,32.0,6.25,1.0,0.996
118,128.0,32.0,6.25,0.5,0.997
119,128.0,32.0,6.25,0.0,0.998
120,128.0,32.0,3.125,512.0,0.859
121,128.0,32.0,3.125,256.0,0.928
122,128.0,32.0,3.125,128.0,0.963
123,128.0,32.0,3.125,64.0,0.981
124,128.0,32.0,3.125,32.0,0.989
125,128.0,32.0,3.125,16.0,0.994
126,128.0,32.0,3.125,8.0,0.995
127,128.0,32.0,3.125,4.0,0.996
128,128.0,32.0,3.125,2.0,0.998
129,128.0,32.0,3.125,1.0,0.998
130,128.0,32.0,3.125,0.5,0.997
131,128.0,32.0,3.125,0.0,0.998
132,128.0,32.0,0.0,512.0,0.861
133,128.0,32.0,0.0,256.0,0.932
134,128.0,32.0,0.0,128.0,0.964
135,128.0,32.0,0.0,64.0,0.982
136,128.0,32.0,0.0,32.0,0.99
137,128.0,32.0,0.0,16.0,0.995
138,128.0,32.0,0.0,8.0,0.997
139,128.0,32.0,0.0,4.0,0.997
140,128.0,32.0,0.0,2.0,0.998
141,128.0,32.0,0.0,1.0,0.999
142,128.0,32.0,0.0,0.5,0.998
143,128.0,32.0,0.0,0.0,1.0
144,128.0,16.0,3200.0,512.0,0.017
145,128.0,16.0,3200.0,256.0,0.094
146,128.0,16.0,3200.0,128.0,0.132
147,128.0,16.0,3200.0,64.0,0.125
148,128.0,16.0,3200.0,32.0,0.13
149,128.0,16.0,3200.0,16.0,0.15
150,128.0,16.0,3200.0,8.0,0.145
151,128.0,16.0,3200.0,4.0,0.136
152,128.0,16.0,3200.0,2.0,0.158
153,128.0,16.0,3200.0,1.0,0.168
154,128.0,16.0,3200.0,0.5,0.139
155,128.0,16.0,3200.0,0.0,0.159
156,128.0,16.0,1600.0,512.0,0.437
157,128.0,16.0,1600.0,256.0,0.511
158,128.0,16.0,1600.0,128.0,0.548
159,128.0,16.0,1600.0,64.0,0.567
160,128.0,16.0,1600.0,32.0,0.56
161,128.0,16.0,1600.0,16.0,0.566
162,128.0,16.0,1600.0,8.0,0.574
163,128.0,16.0,1600.0,4.0,0.578
164,128.0,16.0,1600.0,2.0,0.578
165,128.0,16.0,1600.0,1.0,0.58
166,128.0,16.0,1600.0,0.5,0.583
167,128.0,16.0,1600.0,0.0,0.573
168,128.0,16.0,800.0,512.0,0.657
169,128.0,16.0,800.0,256.0,0.724
170,128.0,16.0,800.0,128.0,0.756
171,128.0,16.0,800.0,64.0,0.77
172,128.0,16.0,800.0,32.0,0.782
173,128.0,16.0,800.0,16.0,0.787
174,128.0,16.0,800.0,8.0,0.79
175,128.0,16.0,800.0,4.0,0.786
176,128.0,16.0,800.0,2.0,0.79
177,128.0,16.0,800.0,1.0,0.789
178,128.0,16.0,800.0,0.5,0.789
179,128.0,16.0,800.0,0.0,0.792
180,128.0,16.0,400.0,512.0,0.754
181,128.0,16.0,400.0,256.0,0.827
182,128.0,16.0,400.0,128.0,0.86
183,128.0,16.0,400.0,64.0,0.874
184,128.0,16.0,400.0,32.0,0.886
185,128.0,16.0,400.0,16.0,0.889
186,128.0,16.0,400.0,8.0,0.894
187,128.0,16.0,400.0,4.0,0.893
188,128.0,16.0,400.0,2.0,0.892
189,128.0,16.0,400.0,1.0,0.894
190,128.0,16.0,400.0,0.5,0.894
191,128.0,16.0,400.0,0.0,0.891
192,128.0,16.0,200.0,512.0,0.812
193,128.0,16.0,200.0,256.0,0.88
194,128.0,16.0,200.0,128.0,0.914
195,128.0,16.0,200.0,64.0,0.931
196,128.0,16.0,200.0,32.0,0.936
197,128.0,16.0,200.0,16.0,0.94
198,128.0,16.0,200.0,8.0,0.944
199,128.0,16.0,200.0,4.0,0.944
200,128.0,16.0,200.0,2.0,0.946
201,128.0,16.0,200.0,1.0,0.945
202,128.0,16.0,200.0,0.5,0.946
203,128.0,16.0,200.0,0.0,0.944
204,128.0,16.0,100.0,512.0,0.833
205,128.0,16.0,100.0,256.0,0.902
206,128.0,16.0,100.0,128.0,0.939
207,128.0,16.0,100.0,64.0,0.956
208,128.0,16.0,100.0,32.0,0.963
209,128.0,16.0,100.0,16.0,0.967
210,128.0,16.0,100.0,8.0,0.97
211,128.0,16.0,100.0,4.0,0.973
212,128.0,16.0,100.0,2.0,0.971
213,128.0,16.0,100.0,1.0,0.973
214,128.0,16.0,100.0,0.5,0.971
215,128.0,16.0,100.0,0.0,0.972
216,128.0,16.0,50.0,512.0,0.85
217,128.0,16.0,50.0,256.0,0.917
218,128.0,16.0,50.0,128.0,0.95
219,128.0,16.0,50.0,64.0,0.968
220,128.0,16.0,50.0,32.0,0.977
221,128.0,16.0,50.0,16.0,0.981
222,128.0,16.0,50.0,8.0,0.983
223,128.0,16.0,50.0,4.0,0.985
224,128.0,16.0,50.0,2.0,0.985
225,128.0,16.0,50.0,1.0,0.985
226,128.0,16.0,50.0,0.5,0.986
227,128.0,16.0,50.0,0.0,0.986
228,128.0,16.0,25.0,512.0,0.855
229,128.0,16.0,25.0,256.0,0.925
230,128.0,16.0,25.0,128.0,0.96
231,128.0,16.0,25.0,64.0,0.974
232,128.0,16.0,25.0,32.0,0.985
233,128.0,16.0,25.0,16.0,0.988
234,128.0,16.0,25.0,8.0,0.991
235,128.0,16.0,25.0,4.0,0.992
236,128.0,16.0,25.0,2.0,0.993
237,128.0,16.0,25.0,1.0,0.992
238,128.0,16.0,25.0,0.5,0.993
239,128.0,16.0,25.0,0.0,0.993
240,128.0,16.0,12.5,512.0,0.858
241,128.0,16.0,12.5,256.0,0.928
242,128.0,16.0,12.5,128.0,0.963
243,128.0,16.0,12.5,64.0,0.978
244,128.0,16.0,12.5,32.0,0.987
245,128.0,16.0,12.5,16.0,0.991
246,128.0,16.0,12.5,8.0,0.994
247,128.0,16.0,12.5,4.0,0.994
248,128.0,16.0,12.5,2.0,0.996
249,128.0,16.0,12.5,1.0,0.995
250,128.0,16.0,12.5,0.5,0.995
251,128.0,16.0,12.5,0.0,0.996
252,128.0,16.0,6.25,512.0,0.859
253,128.0,16.0,6.25,256.0,0.931
254,128.0,16.0,6.25,128.0,0.964
255,128.0,16.0,6.25,64.0,0.98
256,128.0,16.0,6.25,32.0,0.989
257,128.0,16.0,6.25,16.0,0.994
258,128.0,16.0,6.25,8.0,0.995
259,128.0,16.0,6.25,4.0,0.997
260,128.0,16.0,6.25,2.0,0.997
261,128.0,16.0,6.25,1.0,0.998
262,128.0,16.0,6.25,0.5,0.997
263,128.0,16.0,6.25,0.0,0.997
264,128.0,16.0,3.125,512.0,0.862
265,128.0,16.0,3.125,256.0,0.932
266,128.0,16.0,3.125,128.0,0.964
267,128.0,16.0,3.125,64.0,0.98
268,128.0,16.0,3.125,32.0,0.989
269,128.0,16.0,3.125,16.0,0.994
270,128.0,16.0,3.125,8.0,0.996
271,128.0,16.0,3.125,4.0,0.997
272,128.0,16.0,3.125,2.0,0.997
273,128.0,16.0,3.125,1.0,0.998
274,128.0,16.0,3.125,0.5,0.999
275,128.0,16.0,3.125,0.0,0.999
276,128.0,16.0,0.0,512.0,0.86
277,128.0,16.0,0.0,256.0,0.929
278,128.0,16.0,0.0,128.0,0.966
279,128.0,16.0,0.0,64.0,0.982
280,128.0,16.0,0.0,32.0,0.99
281,128.0,16.0,0.0,16.0,0.994
282,128.0,16.0,0.0,8.0,0.996
283,128.0,16.0,0.0,4.0,0.998
284,128.0,16.0,0.0,2.0,0.999
285,128.0,16.0,0.0,1.0,0.999
286,128.0,16.0,0.0,0.5,0.999
287,128.0,16.0,0.0,0.0,0.999
288,128.0,8.0,3200.0,512.0,0.013
289,128.0,8.0,3200.0,256.0,0.091
290,128.0,8.0,3200.0,128.0,0.125
291,128.0,8.0,3200.0,64.0,0.134
292,128.0,8.0,3200.0,32.0,0.157
293,128.0,8.0,3200.0,16.0,0.143
294,128.0,8.0,3200.0,8.0,0.15
295,128.0,8.0,3200.0,4.0,0.16
296,128.0,8.0,3200.0,2.0,0.136
297,128.0,8.0,3200.0,1.0,0.151
298,128.0,8.0,3200.0,0.5,0.158
299,128.0,8.0,3200.0,0.0,0.162
300,128.0,8.0,1600.0,512.0,0.435
301,128.0,8.0,1600.0,256.0,0.502
302,128.0,8.0,1600.0,128.0,0.54
303,128.0,8.0,1600.0,64.0,0.567
304,128.0,8.0,1600.0,32.0,0.565
305,128.0,8.0,1600.0,16.0,0.581
306,128.0,8.0,1600.0,8.0,0.576
307,128.0,8.0,1600.0,4.0,0.579
308,128.0,8.0,1600.0,2.0,0.579
309,128.0,8.0,1600.0,1.0,0.576
310,128.0,8.0,1600.0,0.5,0.581
311,128.0,8.0,1600.0,0.0,0.568
312,128.0,8.0,800.0,512.0,0.645
313,128.0,8.0,800.0,256.0,0.717
314,128.0,8.0,800.0,128.0,0.755
315,128.0,8.0,800.0,64.0,0.771
316,128.0,8.0,800.0,32.0,0.775
317,128.0,8.0,800.0,16.0,0.784
318,128.0,8.0,800.0,8.0,0.79
319,128.0,8.0,800.0,4.0,0.79
320,128.0,8.0,800.0,2.0,0.789
321,128.0,8.0,800.0,1.0,0.783
322,128.0,8.0,800.0,0.5,0.788
323,128.0,8.0,800.0,0.0,0.792
324,128.0,8.0,400.0,512.0,0.753
325,128.0,8.0,400.0,256.0,0.821
326,128.0,8.0,400.0,128.0,0.857
327,128.0,8.0,400.0,64.0,0.875
328,128.0,8.0,400.0,32.0,0.883
329,128.0,8.0,400.0,16.0,0.891
330,128.0,8.0,400.0,8.0,0.891
331,128.0,8.0,400.0,4.0,0.89
332,128.0,8.0,400.0,2.0,0.891
333,128.0,8.0,400.0,1.0,0.894
334,128.0,8.0,400.0,0.5,0.891
335,128.0,8.0,400.0,0.0,0.892
336,128.0,8.0,200.0,512.0,0.814
337,128.0,8.0,200.0,256.0,0.88
338,128.0,8.0,200.0,128.0,0.914
339,128.0,8.0,200.0,64.0,0.927
340,128.0,8.0,200.0,32.0,0.937
341,128.0,8.0,200.0,16.0,0.944
342,128.0,8.0,200.0,8.0,0.942
343,128.0,8.0,200.0,4.0,0.946
344,128.0,8.0,200.0,2.0,0.945
345,128.0,8.0,200.0,1.0,0.944
346,128.0,8.0,200.0,0.5,0.946
347,128.0,8.0,200.0,0.0,0.947
348,128.0,8.0,100.0,512.0,0.84
349,128.0,8.0,100.0,256.0,0.902
350,128.0,8.0,100.0,128.0,0.937
351,128.0,8.0,100.0,64.0,0.957
352,128.0,8.0,100.0,32.0,0.965
353,128.0,8.0,100.0,16.0,0.969
354,128.0,8.0,100.0,8.0,0.97
355,128.0,8.0,100.0,4.0,0.972
356,128.0,8.0,100.0,2.0,0.971
357,128.0,8.0,100.0,1.0,0.972
358,128.0,8.0,100.0,0.5,0.973
359,128.0,8.0,100.0,0.0,0.972
360,128.0,8.0,50.0,512.0,0.852
361,128.0,8.0,50.0,256.0,0.92
362,128.0,8.0,50.0,128.0,0.952
363,128.0,8.0,50.0,64.0,0.968
364,128.0,8.0,50.0,32.0,0.978
365,128.0,8.0,50.0,16.0,0.981
366,128.0,8.0,50.0,8.0,0.984
367,128.0,8.0,50.0,4.0,0.984
368,128.0,8.0,50.0,2.0,0.986
369,128.0,8.0,50.0,1.0,0.985
370,128.0,8.0,50.0,0.5,0.985
371,128.0,8.0,50.0,0.0,0.986
372,128.0,8.0,25.0,512.0,0.856
373,128.0,8.0,25.0,256.0,0.924
374,128.0,8.0,25.0,128.0,0.96
375,128.0,8.0,25.0,64.0,0.975
376,128.0,8.0,25.0,32.0,0.984
377,128.0,8.0,25.0,16.0,0.987
378,128.0,8.0,25.0,8.0,0.99
379,128.0,8.0,25.0,4.0,0.991
380,128.0,8.0,25.0,2.0,0.992
381,128.0,8.0,25.0,1.0,0.992
382,128.0,8.0,25.0,0.5,0.993
383,128.0,8.0,25.0,0.0,0.992
384,128.0,8.0,12.5,512.0,0.859
385,128.0,8.0,12.5,256.0,0.93
386,128.0,8.0,12.5,128.0,0.963
387,128.0,8.0,12.5,64.0,0.979
388,128.0,8.0,12.5,32.0,0.988
389,128.0,8.0,12.5,16.0,0.992
390,128.0,8.0,12.5,8.0,0.994
391,128.0,8.0,12.5,4.0,0.994
392,128.0,8.0,12.5,2.0,0.995
393,128.0,8.0,12.5,1.0,0.995
394,128.0,8.0,12.5,0.5,0.995
395,128.0,8.0,12.5,0.0,0.995
396,128.0,8.0,6.25,512.0,0.858
397,128.0,8.0,6.25,256.0,0.931
398,128.0,8.0,6.25,128.0,0.965
399,128.0,8.0,6.25,64.0,0.98
400,128.0,8.0,6.25,32.0,0.989
401,128.0,8.0,6.25,16.0,0.993
402,128.0,8.0,6.25,8.0,0.996
403,128.0,8.0,6.25,4.0,0.996
404,128.0,8.0,6.25,2.0,0.997
405,128.0,8.0,6.25,1.0,0.997
406,128.0,8.0,6.25,0.5,0.998
407,128.0,8.0,6.25,0.0,0.998
408,128.0,8.0,3.125,512.0,0.861
409,128.0,8.0,3.125,256.0,0.93
410,128.0,8.0,3.125,128.0,0.965
411,128.0,8.0,3.125,64.0,0.982
412,128.0,8.0,3.125,32.0,0.989
413,128.0,8.0,3.125,16.0,0.995
414,128.0,8.0,3.125,8.0,0.996
415,128.0,8.0,3.125,4.0,0.998
416,128.0,8.0,3.125,2.0,0.997
417,128.0,8.0,3.125,1.0,0.998
418,128.0,8.0,3.125,0.5,0.997
419,128.0,8.0,3.125,0.0,0.998
420,128.0,8.0,0.0,512.0,0.862
421,128.0,8.0,0.0,256.0,0.932
422,128.0,8.0,0.0,128.0,0.965
423,128.0,8.0,0.0,64.0,0.982
424,128.0,8.0,0.0,32.0,0.99
425,128.0,8.0,0.0,16.0,0.995
426,128.0,8.0,0.0,8.0,0.997
427,128.0,8.0,0.0,4.0,0.998
428,128.0,8.0,0.0,2.0,0.999
429,128.0,8.0,0.0,1.0,0.999
430,128.0,8.0,0.0,0.5,0.999
431,128.0,8.0,0.0,0.0,0.999
432,128.0,4.0,3200.0,512.0,0.018
433,128.0,4.0,3200.0,256.0,0.091
434,128.0,4.0,3200.0,128.0,0.112
435,128.0,4.0,3200.0,64.0,0.139
436,128.0,4.0,3200.0,32.0,0.135
437,128.0,4.0,3200.0,16.0,0.149
438,128.0,4.0,3200.0,8.0,0.157
439,128.0,4.0,3200.0,4.0,0.149
440,128.0,4.0,3200.0,2.0,0.141
441,128.0,4.0,3200.0,1.0,0.168
442,128.0,4.0,3200.0,0.5,0.145
443,128.0,4.0,3200.0,0.0,0.148
444,128.0,4.0,1600.0,512.0,0.441
445,128.0,4.0,1600.0,256.0,0.516
446,128.0,4.0,1600.0,128.0,0.538
447,128.0,4.0,1600.0,64.0,0.56
448,128.0,4.0,1600.0,32.0,0.575
449,128.0,4.0,1600.0,16.0,0.565
450,128.0,4.0,1600.0,8.0,0.571
451,128.0,4.0,1600.0,4.0,0.571
452,128.0,4.0,1600.0,2.0,0.583
453,128.0,4.0,1600.0,1.0,0.567
454,128.0,4.0,1600.0,0.5,0.584
455,128.0,4.0,1600.0,0.0,0.57
456,128.0,4.0,800.0,512.0,0.657
457,128.0,4.0,800.0,256.0,0.724
458,128.0,4.0,800.0,128.0,0.75
459,128.0,4.0,800.0,64.0,0.772
460,128.0,4.0,800.0,32.0,0.774
461,128.0,4.0,800.0,16.0,0.787
462,128.0,4.0,800.0,8.0,0.781
463,128.0,4.0,800.0,4.0,0.785
464,128.0,4.0,800.0,2.0,0.784
465,128.0,4.0,800.0,1.0,0.788
466,128.0,4.0,800.0,0.5,0.79
467,128.0,4.0,800.0,0.0,0.785
468,128.0,4.0,400.0,512.0,0.76
469,128.0,4.0,400.0,256.0,0.825
470,128.0,4.0,400.0,128.0,0.86
471,128.0,4.0,400.0,64.0,0.874
472,128.0,4.0,400.0,32.0,0.885
473,128.0,4.0,400.0,16.0,0.886
474,128.0,4.0,400.0,8.0,0.892
475,128.0,4.0,400.0,4.0,0.893
476,128.0,4.0,400.0,2.0,0.894
477,128.0,4.0,400.0,1.0,0.891
478,128.0,4.0,400.0,0.5,0.895
479,128.0,4.0,400.0,0.0,0.891
480,128.0,4.0,200.0,512.0,0.807
481,128.0,4.0,200.0,256.0,0.88
482,128.0,4.0,200.0,128.0,0.912
483,128.0,4.0,200.0,64.0,0.928
484,128.0,4.0,200.0,32.0,0.94
485,128.0,4.0,200.0,16.0,0.94
486,128.0,4.0,200.0,8.0,0.945
487,128.0,4.0,200.0,4.0,0.947
488,128.0,4.0,200.0,2.0,0.944
489,128.0,4.0,200.0,1.0,0.946
490,128.0,4.0,200.0,0.5,0.944
491,128.0,4.0,200.0,0.0,0.947
492,128.0,4.0,100.0,512.0,0.835
493,128.0,4.0,100.0,256.0,0.903
494,128.0,4.0,100.0,128.0,0.938
495,128.0,4.0,100.0,64.0,0.956
496,128.0,4.0,100.0,32.0,0.963
497,128.0,4.0,100.0,16.0,0.967
498,128.0,4.0,100.0,8.0,0.969
499,128.0,4.0,100.0,4.0,0.971
500,128.0,4.0,100.0,2.0,0.972
501,128.0,4.0,100.0,1.0,0.972
502,128.0,4.0,100.0,0.5,0.972
503,128.0,4.0,100.0,0.0,0.973
504,128.0,4.0,50.0,512.0,0.849
505,128.0,4.0,50.0,256.0,0.919
506,128.0,4.0,50.0,128.0,0.952
507,128.0,4.0,50.0,64.0,0.968
508,128.0,4.0,50.0,32.0,0.977
509,128.0,4.0,50.0,16.0,0.982
510,128.0,4.0,50.0,8.0,0.985
511,128.0,4.0,50.0,4.0,0.985
512,128.0,4.0,50.0,2.0,0.985
513,128.0,4.0,50.0,1.0,0.987
514,128.0,4.0,50.0,0.5,0.985
515,128.0,4.0,50.0,0.0,0.986
516,128.0,4.0,25.0,512.0,0.853
517,128.0,4.0,25.0,256.0,0.925
518,128.0,4.0,25.0,128.0,0.96
519,128.0,4.0,25.0,64.0,0.976
520,128.0,4.0,25.0,32.0,0.984
521,128.0,4.0,25.0,16.0,0.988
522,128.0,4.0,25.0,8.0,0.991
523,128.0,4.0,25.0,4.0,0.991
524,128.0,4.0,25.0,2.0,0.992
525,128.0,4.0,25.0,1.0,0.993
526,128.0,4.0,25.0,0.5,0.993
527,128.0,4.0,25.0,0.0,0.993
528,128.0,4.0,12.5,512.0,0.858
529,128.0,4.0,12.5,256.0,0.928
530,128.0,4.0,12.5,128.0,0.961
531,128.0,4.0,12.5,64.0,0.98
532,128.0,4.0,12.5,32.0,0.987
533,128.0,4.0,12.5,16.0,0.992
534,128.0,4.0,12.5,8.0,0.993
535,128.0,4.0,12.5,4.0,0.995
536,128.0,4.0,12.5,2.0,0.996
537,128.0,4.0,12.5,1.0,0.996
538,128.0,4.0,12.5,0.5,0.995
539,128.0,4.0,12.5,0.0,0.997
540,128.0,4.0,6.25,512.0,0.862
541,128.0,4.0,6.25,256.0,0.928
542,128.0,4.0,6.25,128.0,0.963
543,128.0,4.0,6.25,64.0,0.981
544,128.0,4.0,6.25,32.0,0.989
545,128.0,4.0,6.25,16.0,0.994
546,128.0,4.0,6.25,8.0,0.996
547,128.0,4.0,6.25,4.0,0.997
548,128.0,4.0,6.25,2.0,0.997
549,128.0,4.0,6.25,1.0,0.997
550,128.0,4.0,6.25,0.5,0.997
551,128.0,4.0,6.25,0.0,0.997
552,128.0,4.0,3.125,512.0,0.86
553,128.0,4.0,3.125,256.0,0.931
554,128.0,4.0,3.125,128.0,0.964
555,128.0,4.0,3.125,64.0,0.981
556,128.0,4.0,3.125,32.0,0.989
557,128.0,4.0,3.125,16.0,0.995
558,128.0,4.0,3.125,8.0,0.997
559,128.0,4.0,3.125,4.0,0.997
560,128.0,4.0,3.125,2.0,0.998
561,128.0,4.0,3.125,1.0,0.998
562,128.0,4.0,3.125,0.5,0.998
563,128.0,4.0,3.125,0.0,0.998
564,128.0,4.0,0.0,512.0,0.863
565,128.0,4.0,0.0,256.0,0.931
566,128.0,4.0,0.0,128.0,0.966
567,128.0,4.0,0.0,64.0,0.982
568,128.0,4.0,0.0,32.0,0.99
569,128.0,4.0,0.0,16.0,0.995
570,128.0,4.0,0.0,8.0,0.996
571,128.0,4.0,0.0,4.0,0.998
572,128.0,4.0,0.0,2.0,0.998
573,128.0,4.0,0.0,1.0,0.999
574,128.0,4.0,0.0,0.5,0.999
575,128.0,4.0,0.0,0.0,1.0
576,128.0,2.0,3200.0,512.0,0.009
577,128.0,2.0,3200.0,256.0,0.084
578,128.0,2.0,3200.0,128.0,0.113
579,128.0,2.0,3200.0,64.0,0.135
580,128.0,2.0,3200.0,32.0,0.136
581,128.0,2.0,3200.0,16.0,0.161
582,128.0,2.0,3200.0,8.0,0.166
583,128.0,2.0,3200.0,4.0,0.162
584,128.0,2.0,3200.0,2.0,0.158
585,128.0,2.0,3200.0,1.0,0.156
586,128.0,2.0,3200.0,0.5,0.141
587,128.0,2.0,3200.0,0.0,0.155
588,128.0,2.0,1600.0,512.0,0.44
589,128.0,2.0,1600.0,256.0,0.513
590,128.0,2.0,1600.0,128.0,0.544
591,128.0,2.0,1600.0,64.0,0.561
592,128.0,2.0,1600.0,32.0,0.562
593,128.0,2.0,1600.0,16.0,0.566
594,128.0,2.0,1600.0,8.0,0.577
595,128.0,2.0,1600.0,4.0,0.575
596,128.0,2.0,1600.0,2.0,0.569
597,128.0,2.0,1600.0,1.0,0.575
598,128.0,2.0,1600.0,0.5,0.583
599,128.0,2.0,1600.0,0.0,0.573
600,128.0,2.0,800.0,512.0,0.645
601,128.0,2.0,800.0,256.0,0.723
602,128.0,2.0,800.0,128.0,0.756
603,128.0,2.0,800.0,64.0,0.767
604,128.0,2.0,800.0,32.0,0.781
605,128.0,2.0,800.0,16.0,0.781
606,128.0,2.0,800.0,8.0,0.789
607,128.0,2.0,800.0,4.0,0.784
608,128.0,2.0,800.0,2.0,0.787
609,128.0,2.0,800.0,1.0,0.789
610,128.0,2.0,800.0,0.5,0.79
611,128.0,2.0,800.0,0.0,0.791
612,128.0,2.0,400.0,512.0,0.753
613,128.0,2.0,400.0,256.0,0.825
614,128.0,2.0,400.0,128.0,0.861
615,128.0,2.0,400.0,64.0,0.876
616,128.0,2.0,400.0,32.0,0.887
617,128.0,2.0,400.0,16.0,0.887
618,128.0,2.0,400.0,8.0,0.89
619,128.0,2.0,400.0,4.0,0.893
620,128.0,2.0,400.0,2.0,0.891
621,128.0,2.0,400.0,1.0,0.896
622,128.0,2.0,400.0,0.5,0.892
623,128.0,2.0,400.0,0.0,0.893
624,128.0,2.0,200.0,512.0,0.809
625,128.0,2.0,200.0,256.0,0.88
